position;name;cheke;perfomance;yearofprod;cpusocket;cpucore;numofcores,numofthreads;basefreq;turbofreq;cachel1;cachel2;cachel3;graphics;memorycontroller;pciecontroller;lithography;tdp;cpucategory
616;Intel Xeon E5-2695 v4;;11227.89;2016;LGA2011-3;18 / 36;18 / 36;2100 MHz;3300 MHz;32+32x18;256x18;46080;нет;4 chann.DDR4-2400;PCI Express 3.040 lines;14 nm;120 W;серверный
617;AMD EPYC 4124P;;11224.79;2024;Socket AM5;4 / 8;4 / 8;3800 MHz;5100 MHz;4x32 + 4x32;4x1024;16384;нет;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;65 W;десктопный
618;Intel Xeon Silver 4216;;11200.14;2019;LGA3647;16 / 32;16 / 32;2100 MHz;3200 MHz;16x32 + 16x32;16x1024;22528;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;100 W;серверный
619;Intel Core i9-9900KF;;11181.83;2019;LGA1151-2;8 / 16;8 / 16;3600 MHz;5000 MHz;8x32 + 8x32;8x256;16384;нет;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;95 W;десктопный
620;AMD Ryzen 5 5500;;11167.65;2022;Socket AM4;6 / 12;6 / 12;3600 MHz;4200 MHz;6x32 + 6x32;6x512;16384;нет;2 chann.DDR4-3200;PCI Express 3.020 lines;7 nm;65 W;десктопный
621;Intel Core i7-1270PE;;11167.33;2022;BGA1744;12 / 16;12 / 16;1600 MHz;4500 MHz;4x32 + 4x48 | 8x32 + 8x64;21504;18432;Iris Xe Graphics G7 96EU300 - 1400 MHz;2 chann.LPDDR4x 4267;PCI Express 4.028 lines;10 nm;64 W;встраиваемый
622;AMD EPYC 7252;;11153.96;2019;Socket SP3;8 / 16;8 / 16;3100 MHz;3200 MHz;8x32 + 8x32;8x512;65536;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;120 W;серверный
623;AMD Ryzen 7 PRO 4750GE;;11100.01;2020;Socket AM4;8 / 16;8 / 16;3100 MHz;4300 MHz;8x32 + 8x32;8x512;8192;Radeon RX Vega 8 (Ryzen 4000)2100 MHz, 512 shaders;2 chann.DDR4-3200;PCI Express 3.016 lines;7 nm;35 W;десктопный
624;AMD Ryzen 5 7535HS;;11099.51;2023;Socket FP7;6 / 12;6 / 12;3300 MHz;4550 MHz;6x32 + 6x32;6x512;16384;Radeon 660M1900 MHz, 384 shaders;2 chann.LPDDR5-6400;PCI Express 4.016 lines;6 nm;54 W;мобильный
625;Intel Xeon D-1736NT;;11083.04;2022;BGA2227;8 / 16;8 / 16;2700 MHz;3500 MHz;8x32 + 8x32;8x1024;15360;нет;4 chann.DDR4-2667;PCI Express 4.016 lines;10 nm;67 W;серверный
626;Intel Core Ultra 5 125U;;11074.06;2023;BGA2049;12 / 14;12 / 14;700 MHz;4300 MHz;2x48 + 2x64 | 8x32 + 8x64 | 2x32 + 2x64;2x2048 | 2x2048 | 2048;12288;Graphics 4-Cores iGPU (Arc)512 shaders, 300 - 1850 MHz;2 chann.DDR5-5600;PCI Express 4.020 lines;7 nm;15 W;мобильный
627;Intel Core Ultra 5 135U;;11065.36;2023;BGA2049;12 / 14;12 / 14;700 MHz;4400 MHz;2x48 + 2x64 | 8x32 + 8x64 | 2x32 + 2x64;2x2048 | 2x2048 | 2048;12288;Graphics 4-Cores iGPU (Arc)512 shaders, 300 - 1900 MHz;2 chann.DDR5-5600;PCI Express 4.020 lines;7 nm;15 W;мобильный
628;AMD Ryzen 5 PRO 5650GE;;11061.26;2021;Socket AM4;6 / 12;6 / 12;3400 MHz;4400 MHz;6x32 + 6x32;6x512;16384;Radeon RX Vega 71900 MHz, 448 shaders;2 chann.DDR4-3200;PCI Express 4.016 lines;7 nm;35 W;десктопный
629;AMD Ryzen 5 6600HS;;11054.34;2022;Socket FP7;6 / 12;6 / 12;3300 MHz;4500 MHz;384;6x512;16384;Radeon 660M1900MHz, 384 shaders;4 chann.LPDDR5-6400;PCI Express 4.016 lines;6 nm;35 W;мобильный
630;Intel Xeon Gold 6234;;11037.58;2019;LGA3647;8 / 16;8 / 16;3300 MHz;4000 MHz;8x32 + 8x32;8x1024;25344;нет;6 chann.DDR4-2933;PCI Express 3.048 lines;14 nm;130 W;серверный
631;Intel Core i5-1250PE;;11029.29;2022;BGA1744;12 / 16;12 / 16;1200 MHz;4400 MHz;4x32 + 4x48 | 8x32 + 8x64;21504;12288;Intel Iris Xe Graphics G7 80EU400 - 1300 MHz;2 chann.LPDDR4x 4267;нет;10 nm;28 W;встраиваемый
632;Intel Xeon Gold 6126;;11006.51;2017;LGA3647;12 / 24;12 / 24;2600 MHz;3700 MHz;12x32 + 12x32;12x1024;19712;нет;6 chann.DDR4-2666;PCI Express 3.048 lines;14 nm;125 W;серверный
633;Intel Core Ultra 7 165U;;10980.17;2023;BGA2049;12 / 14;12 / 14;700 MHz;4900 MHz;2x48 + 2x64 | 8x32 + 8x64 | 2x32 + 2x64;2x2048 | 2x2048 | 2048;12288;Graphics 4-Cores iGPU (Arc)512 shaders, 300 - 2000 MHz;2 chann.DDR5-5600;PCI Express 4.020 lines;7 nm;15 W;мобильный
634;Intel Xeon W-1270;;10968.95;2020;LGA1200;8 / 16;8 / 16;3400 MHz;5000 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics P630350 - 1200 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;80 W;десктопный
635;AMD Ryzen 5 PRO 7540U;;10944.73;2023;Socket FP7;6 / 12;6 / 12;3200 MHz;4900 MHz;6x32 + 6x32;6x1024;16384;Radeon 740M256 shaders, 2500 MHz;2 chann.LPDDR5x-7500;PCI Express 4.014 lines;4 nm;28 W;мобильный
636;AMD Ryzen 9 4900HS;;10936.14;2020;Socket FP6;8 / 16;8 / 16;3000 MHz;4300 MHz;8x32 + 8x32;8x512;8192;Radeon RX Vega 8 (Ryzen 4000)1750 MHz, 512 shaders;2 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;35 W;мобильный
637;Intel Core i5-12600T;;10928.56;2022;LGA1700;6 / 12;6 / 12;2100 MHz;4600 MHz;6x48 + 6x32;7680;18432;Intel UHD Graphics 770300 - 1450 MHz;2 chann.DDR5-4800;PCI Express 5.020 lines;10 nm;74 W;десктопный
638;AMD Ryzen 7 4800H;;10886.25;2020;Socket FP6;8 / 16;8 / 16;2900 MHz;4200 MHz;8x32 + 8x32;8x512;8192;Radeon Vega 71600 MHz, 448 shaders;2 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;45 W;мобильный
639;Intel Xeon W-11555MRE;;10868.98;2021;BGA1787;6 / 12;6 / 12;2600 MHz;4500 MHz;6x32 +6x48;6x1280;12288;Intel UHD Graphics350 - 1350 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;10 nm;40 W;встраиваемый
640;Intel Core i5-11500B;;10859.04;2021;BGA1440;6 / 12;6 / 12;3300 MHz;4600 MHz;6x32 + 6x48;6x1280;12288;Intel UHD Graphics350 - 1450 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;10 nm;65 W;десктопный
641;Intel Core i7-1270P;;10828.45;2022;BGA1744;12 / 16;12 / 16;1600 MHz;4800 MHz;4x32 + 4x48 | 8x32 + 8x64;21504;18432;Iris Xe Graphics G7 96EU300 - 1400 MHz;2 chann.LPDDR4x 4267;PCI Express 4.028 lines;10 nm;28 W;мобильный
642;Intel Core i7-9800X;;10822.08;2018;LGA2066;8 / 16;8 / 16;3800 MHz;4400 MHz;8x32 + 8x32;8x1024;16896;нет;4 chann.DDR4-2666;PCI Express 3.044 lines;14 nm;165 W;десктопный
643;Intel Core i5-11500;;10806.9;2021;LGA1200;6 / 12;6 / 12;2700 MHz;4600 MHz;6x32 + 6x48;6x1280;12288;Intel UHD Graphics 750300 - 1300 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;14 nm;65 W;десктопный
644;Intel Xeon E-2378;;10796.33;2021;LGA1200;8 / 16;8 / 16;2600 MHz;4800 MHz;8x32 + 8x48;8x1280;16384;нет;2 chann.DDR4-3200;PCI Express 4.020 lines;14 nm;65 W;десктопный
645;Intel Xeon Gold 5120T;;10766.53;2017;LGA3647;14 / 28;14 / 28;2200 MHz;3200 MHz;14x32 + 14x32;14x1024;19712;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;105 W;серверный
646;Intel Xeon E5-2686 v3;;10766.45;2014;LGA2011-3;18 / 36;18 / 36;2000 MHz;3500 MHz;18x32 + 18x32;18x256;46080;нет;4 chann.DDR4-2133;PCI Express 3.040 lines;22 nm;120 W;серверный
647;Intel Xeon W-1290T;;10755.1;2020;LGA1200;10 / 20;10 / 20;1900 MHz;4700 MHz;10x32 + 10x32;10x256;20480;Intel UHD Graphics P630350 - 1200 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;35 W;десктопный
648;Intel Xeon E5-2687W v4;;10745.82;2016;LGA2011-3;12 / 24;12 / 24;3000 MHz;3500 MHz;32+32x12;256x12;30720;нет;4 chann.DDR4-2400;PCI Express 3.040 lines;14 nm;160 W;серверный
649;Intel Atom P5362;;10742.02;2022;BGA2106;24 / 24;24 / 24;2200 MHz;нет;24x32 + 24x32;27648;нет;нет;2 chann.DDR4-2933;PCI Express 3.032 lines;10 nm;83 W;серверный
650;AMD Ryzen 5 3600XT;;10731.52;2020;Socket AM4;6 / 12;6 / 12;3800 MHz;4500 MHz;6x32 + 6x32;6x512;32768;нет;2 chann.DDR4-3200;PCI Express 4.016 lines;7 nm;95 W;десктопный
651;Intel Core 5 120U;;10683.54;2024;BGA1744;10 / 12;10 / 12;900 MHz;5000 MHz;2x32 + 2x48 | 8x32 + 8x64;9728;12288;Iris Xe Graphics G7 80EU1250 MHz;2 chann.LPDDR5x 6400;PCI Express 4.020 lines;10 nm;15 W;мобильный
652;AMD EPYC 7232P;;10678.22;2019;Socket SP3;8 / 16;8 / 16;3100 MHz;3200 MHz;8x32 + 8x32;8x512;32768;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;120 W;серверный
653;Intel Xeon E5-2683 v4;;10667.63;2016;LGA2011-3;16 / 32;16 / 32;2100 MHz;3000 MHz;32+32x16;256x16;40960;нет;4 chann.DDR4-2400;PCI Express 3.040 lines;14 nm;120 W;серверный
654;Intel Core i5-12450H;;10647.51;2022;BGA1744;8 / 12;8 / 12;1500 MHz;4400 MHz;4x32 + 4x48 | 4x32 + 4x64;13312;12288;Intel Iris Xe Graphics G4 48EU400 - 1200 MHz;2 chann.LPDDR4x 4267;нет;10 nm;45 W;мобильный
655;Intel Core i5-1240P;;10644.72;2022;BGA1744;12 / 16;12 / 16;1200 MHz;4400 MHz;4x32 + 4x48 | 8x32 + 8x64;21504;12288;Intel Iris Xe Graphics G7 80EU400 - 1400 MHz;2 chann.LPDDR4x 4267;PCI Express 4.020 lines;10 nm;28 W;мобильный
656;Intel Core i7-1260P;;10628.24;2022;BGA1744;12 / 16;12 / 16;1500 MHz;4700 MHz;4x32 + 4x48 | 8x32 + 8x64;21504;18432;Iris Xe Graphics G7 96EU300 - 1400 MHz;2 chann.LPDDR4x 4267;PCI Express 4.028 lines;10 nm;28 W;мобильный
657;AMD Ryzen 7 5800U;;10602.56;2021;Socket FP6;8 / 16;8 / 16;1900 MHz;4400 MHz;8x32 + 8x32;8x512;16384;Radeon RX Vega 8 (Ryzen 5000)2000 MHz, 512 shaders;4 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;15 W;мобильный
658;Intel Xeon E-2278G;;10581.67;2019;LGA1151-2;8 / 16;8 / 16;3400 MHz;5000 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics P630350 - 1200 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;80 W;серверный
659;AMD Ryzen 7 4800HS;;10577.33;2020;Socket FP6;8 / 16;8 / 16;2900 MHz;4200 MHz;8x32 + 8x32;8x512;8192;Radeon Vega 71600 MHz, 448 shaders;2 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;35 W;мобильный
660;AMD Ryzen 5 3600X;;10535.38;2019;Socket AM4;6 / 12;6 / 12;3800 MHz;4400 MHz;6x32 + 6x32;6x512;32768;нет;2 chann.DDR4-3200;PCI Express 4.016 lines;7 nm;95 W;десктопный
661;Intel Core i7-7820X;;10531.14;2017;LGA2066;8 / 16;8 / 16;3600 MHz;4500 MHz;8x32 + 8x32;8x1024;11264;нет;4 chann.DDR4-2666;PCI Express 3.028 lines;14 nm;140 W;десктопный
662;Intel Xeon W-2145;;10513.43;2017;LGA2066;8 / 16;8 / 16;3700 MHz;4500 MHz;8x32 + 8x32;8x1024;11264;нет;4 chann.DDR4-2666;PCI Express 3.048 lines;14 nm;140 W;серверный
663;Intel Xeon Gold 5120;;10507.51;2017;LGA3647;14 / 28;14 / 28;2200 MHz;3200 MHz;14x32 + 14x32;14x1024;19712;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;105 W;серверный
664;Intel Core i7-12700TE;;10466.57;2022;LGA1700;12 / 20;12 / 20;1400 MHz;4700 MHz;8x32 + 8x48 | 4x32 + 4x64;12288;25600;Intel UHD Graphics 770300 - 1500 MHz;2 chann.DDR5-4800;PCI Express 5.020 lines;10 nm;35 W;встраиваемый
665;Intel Core i7-10700;;10430.01;2020;LGA1200;8 / 16;8 / 16;2900 MHz;4800 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics 630350 - 1200 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;65 W;десктопный
666;Intel Xeon E-2336;;10425.76;2021;LGA1200;6 / 12;6 / 12;2900 MHz;4800 MHz;6x32 + 6x48;6x1280;12288;нет;2 chann.DDR4-3200;PCI Express 4.020 lines;14 nm;65 W;серверный
667;Intel Core i9-9900K;;10399.26;2018;LGA1151-2;8 / 16;8 / 16;3600 MHz;5000 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics 630350 - 1200 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;95 W;десктопный
668;Intel Core i7-11600H;;10372.28;2021;BGA1787;6 / 12;6 / 12;2900 MHz;4600 MHz;6x32 + 6x48;6x1280;18432;Intel Iris Xe Graphics G7 32EU350 - 1450 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;10 nm;45 W;мобильный
669;AMD Ryzen 5 4400G;;10334.55;2020;Socket AM4;6 / 12;6 / 12;3700 MHz;4300 MHz;6x32 + 6x32;6x512;8192;Radeon Vega 71900 MHz, 448 shaders;2 chann.DDR4-3200;PCI Express 3.016 lines;7 nm;65 W;десктопный
670;AMD Ryzen 7 2700X;;10322.28;2018;Socket AM4;8 / 16;8 / 16;3700 MHz;4300 MHz;8x64 + 8x32;8x512;16384;нет;2 chann.DDR4-2933;PCI Express 3.024 lines;12 nm;105 W;десктопный
671;Intel Core i7-10700E;;10321.05;2020;LGA1200;8 / 16;8 / 16;2900 MHz;4500 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics 630350 - 1150 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;65 W;встраиваемый
672;Intel Core i5-12500T;;10309.88;2022;LGA1700;6 / 12;6 / 12;2000 MHz;4400 MHz;6x48 + 6x32;7680;18432;Intel UHD Graphics 770300 - 1450 MHz;2 chann.DDR5-4800;PCI Express 5.020 lines;10 nm;74 W;десктопный
673;AMD Ryzen Embedded V3C18I;;10270.77;2022;Socket FP7;8 / 16;8 / 16;1900 MHz;3800 MHz;8x32 + 8x32;8x512;16384;нет;2 chann.DDR5-4800;PCI Express 4.020 lines;0 nm;15 W;встраиваемый
674;AMD Ryzen 7 PRO 5850U;;10265.7;2021;Socket FP6;8 / 16;8 / 16;1900 MHz;4400 MHz;8x32 + 8x32;8x512;16384;Radeon RX Vega 8 (Ryzen 5000)2000 MHz, 512 shaders;4 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;15 W;мобильный
675;AMD Ryzen 7 7730U;;10262.88;2023;Socket FP6;8 / 16;8 / 16;2000 MHz;4500 MHz;8x32 + 8x32;8x512;16384;Radeon RX Vega 8 (Ryzen 5000)2000 MHz;2 chann.DDR4;PCI Express 3.020 lines;7 nm;15 W;мобильный
676;Intel Xeon E-2288G;;10226.15;2019;LGA1151-2;8 / 16;8 / 16;3700 MHz;5000 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics P630350 - 1200 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;95 W;серверный
677;Intel Xeon Silver 4214Y;;10223.06;2019;LGA3647;12 / 24;12 / 24;2200 MHz;3200 MHz;12x32 + 12x32;12x1024;16896;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;85 W;серверный
678;AMD Ryzen 5 Pro 7535U;;10221.38;2023;Socket FP7;6 / 12;6 / 12;2900 MHz;4600 MHz;6x32 + 6x32;6x512;16384;Radeon 660M1900 MHz, 384 shaders;2 chann.LPDDR5-6400;PCI Express 4.016 lines;6 nm;28 W;мобильный
679;Intel Xeon E-2278GE;;10195.03;2019;LGA1151-2;8 / 16;8 / 16;3300 MHz;4700 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics 630350 - 1200 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;80 W;встраиваемый
680;AMD Ryzen 7 5825U;;10194.13;2022;Socket FP6;8 / 16;8 / 16;2000 MHz;4500 MHz;8x32 + 8x32;8x512;16384;Radeon RX Vega 8 (Ryzen 5000)2000 MHz, 512 shaders;4 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;25 W;мобильный
681;AMD Ryzen 7 PRO 2700X;;10182.77;2018;Socket AM4;8 / 16;8 / 16;3600 MHz;4100 MHz;8x64 + 8x32;8x512;16384;нет;2 chann.DDR4-2933;PCI Express 3.024 lines;12 nm;95 W;десктопный
682;AMD Ryzen 7 Extreme Edition;;10179.78;2020;Socket FP6;8 / 16;8 / 16;1800 MHz;4300 MHz;8x32 + 8x32;8x512;8192;Radeon RX Vega 8 (Ryzen 4000)1750 MHz, 512 shaders;2 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;15 W;мобильный
683;AMD Ryzen 5 6600U;;10113.57;2022;Socket FP7;6 / 12;6 / 12;2900 MHz;4500 MHz;384;6x512;16384;Radeon 660M1900MHz, 384 shaders;4 chann.LPDDR5-6400;PCI Express 4.016 lines;6 nm;15 W;мобильный
684;Intel Core i9-10900TE;;10104.67;2020;LGA1200;10 / 20;10 / 20;1800 MHz;4500 MHz;10x32 + 10x32;10x256;20480;Intel UHD Graphics 630350 - 1200 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;35 W;встраиваемый
685;Intel Xeon D-2733NT;;10075.83;2022;BGA2579;8 / 16;8 / 16;2400 MHz;3400 MHz;8x32 + 8x32;8x1024;15360;нет;4 chann.DDR4-2667;PCI Express 4.032 lines;10 nm;80 W;серверный
686;Intel Xeon W-2140B;;10075.6;2017;LGA2066;8 / 16;8 / 16;3200 MHz;4200 MHz;8x32 + 8x32;8x1024;11264;нет;4 chann.DDR4-2666;PCI Express 3.048 lines;14 nm;140 W;серверный
687;AMD Ryzen 5 PRO 6650U;;10075.03;2022;Socket FP7;6 / 12;6 / 12;2900 MHz;4500 MHz;384;6x512;16384;Radeon 660M1900MHz, 384 shaders;4 chann.LPDDR5-6400;PCI Express 4.016 lines;6 nm;28 W;мобильный
688;Intel Xeon Silver 4214;;10066.38;2019;LGA3647;12 / 24;12 / 24;2200 MHz;3200 MHz;12x32 + 12x32;12x1024;16896;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;85 W;серверный
689;Intel Core i5-11400F;;10065.52;2021;LGA1200;6 / 12;6 / 12;2600 MHz;4400 MHz;6x32 + 6x48;6x1280;12288;нет;2 chann.DDR4-3200;PCI Express 4.020 lines;14 nm;65 W;десктопный
690;Intel Xeon E5-4669 v3;;10065.48;2015;LGA2011-3;18 / 36;18 / 36;2100 MHz;2900 MHz;18x32 + 18x32;18x256;46080;нет;4 chann.DDR4-2133;PCI Express 3.040 lines;22 nm;135 W;серверный
691;Intel Xeon E-2434;;10064.86;2023;LGA1700;4 / 8;4 / 8;3400 MHz;5000 MHz;4x32 + 4x48;5120;12288;нет;2 chann.DDR5-4800;PCI Express 5.020 lines;10 nm;55 W;серверный
692;Intel Xeon E5-2695 v3;;10064.67;2014;LGA2011-3;14 / 28;14 / 28;2300 MHz;3300 MHz;32+32x14;256x14;35840;нет;4 chann.DDR4-2133;PCI Express 3.040 lines;22 nm;120 W;серверный
693;AMD Ryzen Embedded V2748;;10061.13;2020;Socket FP6;8 / 16;8 / 16;2900 MHz;4250 MHz;8x32 + 8x32;8x512;8192;Radeon RX Vega 71600 MHz, 448 shaders;2 chann.LPDDR4x-4266;PCI Express 3.020 lines;7 nm;35-54 W;встраиваемый
694;AMD Ryzen 7 4800U;;10052.1;2020;Socket FP6;8 / 16;8 / 16;1800 MHz;4200 MHz;8x32 + 8x32;8x512;8192;Radeon RX Vega 8 (Ryzen 4000)1750 MHz, 512 shaders;2 chann.LPDDR4x-4266;PCI Express 3.016 lines;7 nm;15 W;мобильный
695;Intel Core i5-12400T;;10046.86;2022;LGA1700;6 / 12;6 / 12;1800 MHz;4200 MHz;6x48 + 6x32;7680;18432;Intel UHD Graphics 730300 - 1450 MHz;2 chann.DDR5-4800;PCI Express 5.020 lines;10 nm;74 W;десктопный
696;Intel Core i3-1220PE;;10039.4;2022;BGA1744;8 / 12;8 / 12;1100 MHz;4200 MHz;4x32 + 4x48 | 4x32 + 4x64;9216;12288;Iris Xe Graphics48 exec. units, 300 - 1250 MHz;2 chann.DDR5-4800;PCI Express 4.020 lines;10 nm;28 W;встраиваемый
697;Intel Xeon E5-2690 v3;;10028.64;2014;LGA2011-3;12 / 24;12 / 24;2600 MHz;3500 MHz;32+32x12;256x12;30720;нет;4 chann.DDR4-2133;PCI Express 3.040 lines;22 nm;135 W;серверный
698;Intel Core i5-11500H;;10009.86;2021;BGA1787;6 / 12;6 / 12;2900 MHz;4600 MHz;6x32 + 6x48;6x1280;12288;Intel UHD Graphics 750350 - 1450 MHz;2 chann.LPDDR4x-4267;PCI Express 4.04 lines;10 nm;45 W;мобильный
699;Intel Xeon W-3223;;9987.95;2019;LGA3647;8 / 16;8 / 16;3500 MHz;4000 MHz;8x32 + 8x32;8x1024;19712;нет;6 chann.DDR4-2666;PCI Express 3.064 lines;14 nm;160 W;серверный
700;Intel Core Ultra 7 155U;;9975.48;2023;BGA2049;12 / 14;12 / 14;700 MHz;4800 MHz;2x48 + 2x64 | 8x32 + 8x64 | 2x32 + 2x64;2x2048 | 2x2048 | 2048;12288;Graphics 4-Cores iGPU (Arc)512 shaders, 300 - 1950 MHz;2 chann.DDR5-5600;PCI Express 4.020 lines;7 nm;15 W;мобильный
701;Intel Xeon E5-2689 v4;;9929.5;2016;LGA2011-3;10 / 20;10 / 20;3100 MHz;3800 MHz;10x32+10x32;10x256;25600;нет;4 chann.DDR4-2400;PCI Express 3.040 lines;14 nm;165 W;серверный
702;Intel Xeon W-11865MLE;;9920.34;2021;BGA1787;8 / 16;8 / 16;1500 MHz;4500 MHz;8x32 +8x48;8x1280;24576;Intel UHD Graphics 11th Gen (32 EU)350 - 1350 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;10 nm;25 W;встраиваемый
703;Intel Core i5-11400;;9912.88;2021;LGA1200;6 / 12;6 / 12;2600 MHz;4400 MHz;6x32 + 6x48;6x1280;12288;Intel UHD Graphics 730300 - 1300 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;14 nm;65 W;десктопный
704;Intel Core i7-6950X;;9879.77;2016;LGA2011-3;10 / 20;10 / 20;3000 MHz;4000 MHz;32+32x10;256x10;25600;нет;4 chann.DDR4-2400;PCI Express 3.040 lines;14 nm;140 W;десктопный
705;Intel Xeon E5-4650 v4;;9867.35;2016;LGA2011-3;14 / 28;14 / 28;2200 MHz;2800 MHz;32+32x14;256x14;35840;нет;4 chann.DDR4-2400;PCI Express 3.040 lines;14 nm;105 W;серверный
706;AMD Ryzen 5 PRO 4655G;;9849.74;2020;Socket AM4;6 / 12;6 / 12;3700 MHz;4200 MHz;6x32 + 6x32;6x512;8192;Radeon Vega 71900 MHz, 448 shaders;2 chann.DDR4-3200;PCI Express 3.016 lines;7 nm;65 W;десктопный
707;Intel Core i7-10700F;;9844.41;2020;LGA1200;8 / 16;8 / 16;2900 MHz;4800 MHz;8x32 + 8x32;8x256;16384;нет;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;65 W;десктопный
708;Intel Xeon Gold 5118;;9842.38;2017;LGA3647;12 / 24;12 / 24;2300 MHz;3200 MHz;12x32 + 12x32;12x1024;16896;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;105 W;серверный
709;AMD Ryzen Threadripper 1900X;;9835.12;2017;Socket TR4;8 / 16;8 / 16;3800 MHz;4000 MHz;8x64+8x32;8x512;16384;нет;4 chann.DDR4-2666;PCI Express 3.064 lines;14 nm;180 W;десктопный
710;Intel Core i5-11260H;;9809.69;2021;BGA1787 BGA1787;6 / 12;6 / 12;2600 MHz;4400 MHz;6x32 + 6x48;6x1280;12288;Intel UHD Graphics Xe 16EU (Tiger Lake-H)128 shaders, 350 - 1400 MHz;2 chann.DDR4-3200;PCI Express 4.020 lines;10 nm;45 W;мобильный
711;Intel Xeon Silver 5217;;9782.23;2019;LGA3647;8 / 16;8 / 16;3000 MHz;3700 MHz;8x32 + 8x32;8x1024;11264;нет;6 chann.DDR4-2667;PCI Express 3.048 lines;14 nm;115 W;серверный
712;AMD Ryzen Embedded V2546;;9778.7;2020;Socket FP6;6 / 12;6 / 12;3000 MHz;3950 MHz;6x32 + 6x32;6x512;8192;нет;2 chann.LPDDR4x-4266;PCI Express 3.020 lines;7 nm;45 W;встраиваемый
713;Intel Core i9-10900T;;9777.76;2020;LGA1200;10 / 20;10 / 20;1900 MHz;4600 MHz;10x32 + 10x32;10x256;20480;Intel UHD Graphics 630350 - 1200 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;35 W;десктопный
714;AMD Ryzen 5 7535U;;9763.64;2023;Socket FP7;6 / 12;6 / 12;2900 MHz;4550 MHz;6x32 + 6x32;6x512;16384;Radeon 660M1900 MHz, 384 shaders;2 chann.LPDDR5-6400;PCI Express 4.016 lines;6 nm;28 W;мобильный
715;Intel Xeon W-10885M;;9763.3;2020;BGA1440;8 / 16;8 / 16;2400 MHz;5300 MHz;8x32 + 8x32;8x256;16384;Intel UHD Graphics P630350 - 1250 MHz;2 chann.DDR4-2933;PCI Express 3.016 lines;14 nm;45 W;мобильный
716;AMD Ryzen 5 PRO 4650G;;9743.15;2020;Socket AM4;6 / 12;6 / 12;3700 MHz;4200 MHz;6x32 + 6x32;6x512;8192;Radeon Vega 71900 MHz, 448 shaders;2 chann.DDR4-3200;PCI Express 3.016 lines;7 nm;65 W;десктопный
717;Intel Core i5-11400H;;9738.82;2021;BGA1787 BGA1787;6 / 12;6 / 12;2700 MHz;4500 MHz;6x32 + 6x48;6x1280;12288;Intel UHD Graphics Xe 16EU (Tiger Lake-H)128 shaders, 350 - 1450 MHz;2 chann.LPDDR4x-4267;PCI Express 4.020 lines;10 nm;45 W;мобильный
718;AMD Ryzen 5 7530U;;9726.7;2023;Socket FP6;6 / 12;6 / 12;2000 MHz;4500 MHz;6x32 + 6x32;6x512;16384;Radeon RX Vega 72000 MHz, 448 shaders;2 chann.LPDDR5-6400;PCI Express 3.020 lines;7 nm;15 W;мобильный
